Item1,Item2,Item3,Item4,Number,Name,Code,NbInnov,Remaining1,Remaining2,RemPict1,RemPict2,ScoreLog,CodeReverse,Pict1,Pict2,Pict3,Pict4
0,0,3,3,11,Small_Stone.jpg,0_0_3_3,1,3,0,Stone.jpg,0,0,R0_0_3_3,Stone.jpg,Stone.jpg,Gray.jpg,Gray.jpg
0,0,11,11,12,Stone_Tool1.jpg,0_0_11_11,2,11,0,Small_Stone.jpg,0,0,R0_0_11_11,Small_Stone.jpg,Small_Stone.jpg,Gray.jpg,Gray.jpg
0,0,0,2,13,Bough.jpg,0_0_0_2,1,2,0,Tree.jpg,0,0,R0_0_0_2,Tree.jpg,Gray.jpg,Gray.jpg,Gray.jpg
0,0,0,13,14,Stick.jpg,0_0_0_13,2,0,0,0,0,0,R0_0_0_13,Bough.jpg,Gray.jpg,Gray.jpg,Gray.jpg
0,0,1,12,15,Bark.jpg,0_0_1_12,3,1,12,Big_Tree.jpg,Stone_Tool1.jpg,0,R0_0_1_12,Stone_Tool1.jpg,Big_Tree.jpg,Gray.jpg,Gray.jpg
0,0,12,15,16,Fiber.jpg,0_0_12_15,4,12,15,Stone_Tool1.jpg,Bark.jpg,0,R0_0_12_15,Bark.jpg,Stone_Tool1.jpg,Gray.jpg,Gray.jpg
0,0,16,16,17,Twine.jpg,0_0_16_16,5,0,0,0,0,0,R0_0_16_16,Fiber.jpg,Fiber.jpg,Gray.jpg,Gray.jpg
0,12,14,17,18,Axe.jpg,0_12_14_17,8,0,0,0,0,0,R0_12_14_17,Twine.jpg,Stick.jpg,Stone_Tool1.jpg,Gray.jpg
0,0,2,18,19,Log.jpg,0_0_2_18,9,18,0,Axe.jpg,0,50,R0_0_2_18,Axe.jpg,Tree.jpg,Gray.jpg,Gray.jpg
0,0,12,19,20,Log_W_Bark.jpg,0_0_12_19,10,12,0,Stone_Tool1.jpg,0,100,R0_0_12_19,Log.jpg,Stone_Tool1.jpg,Gray.jpg,Gray.jpg
0,0,18,20,21,Half_Log.jpg,0_0_18_20,11,18,0,Axe.jpg,0,0,R0_0_18_20,Log_W_Bark.jpg,Axe.jpg,Gray.jpg,Gray.jpg
0,0,18,19,22,Quarter_Log.jpg,0_0_18_19,10,18,0,Axe.jpg,0,0,R0_0_18_19,Log.jpg,Axe.jpg,Gray.jpg,Gray.jpg
0,0,3,6,23,Antler_Refined.jpg,0_0_3_6,1,3,0,Stone.jpg,0,0,R0_0_3_6,Antler.jpg,Stone.jpg,Gray.jpg,Gray.jpg
0,0,11,23,24,Stone_Tool2.jpg,0_0_11_23,3,23,0,Antler_Refined.jpg,0,0,R0_0_11_23,Antler_Refined.jpg,Small_Stone.jpg,Gray.jpg,Gray.jpg
0,3,21,23,25,Stone_Tool3.jpg,0_3_21_23,13,21,23,Half_Log.jpg,Antler_Refined.jpg,0,R0_3_21_23,Antler_Refined.jpg,Half_Log.jpg,Stone.jpg,Gray.jpg
0,21,23,24,26,Stone_Tool4.jpg,0_21_23_24,14,21,23,Half_Log.jpg,Antler_Refined.jpg,0,R0_21_23_24,Stone_Tool2.jpg,Antler_Refined.jpg,Half_Log.jpg,Gray.jpg
0,21,23,25,27,Stone_Tool5.jpg,0_21_23_25,14,21,23,Half_Log.jpg,Antler_Refined.jpg,0,R0_21_23_25,Stone_Tool3.jpg,Antler_Refined.jpg,Half_Log.jpg,Gray.jpg
0,0,1,18,28,Big_Bough.jpg,0_0_1_18,9,1,18,Big_Tree.jpg,Axe.jpg,0,R0_0_1_18,Axe.jpg,Big_Tree.jpg,Gray.jpg,Gray.jpg
0,0,24,28,29,Big_Bough_Refined.jpg,0_0_24_28,12,24,0,Stone_Tool2.jpg,0,0,R0_0_24_28,Big_Bough.jpg,Stone_Tool2.jpg,Gray.jpg,Gray.jpg
0,0,25,29,30,Big_Axe.jpg,0_0_25_29,17,0,0,0,0,0,R0_0_25_29,Big_Bough_Refined.jpg,Stone_Tool3.jpg,Gray.jpg,Gray.jpg
0,0,14,26,31,Small_Stick.jpg,0_0_14_26,15,26,0,Stone_Tool4.jpg,0,0,R0_0_14_26,Stone_Tool4.jpg,Stick.jpg,Gray.jpg,Gray.jpg
0,16,17,31,32,Brush.jpg,0_16_17_31,16,0,0,0,0,0,R0_16_17_31,Small_Stick.jpg,Twine.jpg,Fiber.jpg,Gray.jpg
0,0,22,24,33,Container.jpg,0_0_22_24,13,24,0,Stone_Tool2.jpg,0,0,R0_0_22_24,Stone_Tool2.jpg,Quarter_Log.jpg,Gray.jpg,Gray.jpg
